"Année","Catégorie","Valeur"
2001,"Perte de couvert forestier arboré (ha)",122711.45023838062
2002,"Perte de couvert forestier arboré (ha)",144559.90750921323
2003,"Perte de couvert forestier arboré (ha)",86282.29678784574
2004,"Perte de couvert forestier arboré (ha)",48048.33722282456
2005,"Perte de couvert forestier arboré (ha)",65320.73486399584
2006,"Perte de couvert forestier arboré (ha)",97780.65199480727
2007,"Perte de couvert forestier arboré (ha)",90864.76358264289
2008,"Perte de couvert forestier arboré (ha)",127554.83313428673
2009,"Perte de couvert forestier arboré (ha)",108875.81520437208
2010,"Perte de couvert forestier arboré (ha)",92491.85756975897
2011,"Perte de couvert forestier arboré (ha)",124683.4927281626
2012,"Perte de couvert forestier arboré (ha)",96128.73772145902
2013,"Perte de couvert forestier arboré (ha)",175758.66835718456
2014,"Perte de couvert forestier arboré (ha)",346792.5692410858
2015,"Perte de couvert forestier arboré (ha)",152432.45205148516
2016,"Perte de couvert forestier arboré (ha)",221099.81126493408
2017,"Perte de couvert forestier arboré (ha)",357273.0221579286
2018,"Perte de couvert forestier arboré (ha)",324739.87777415355
2019,"Perte de couvert forestier arboré (ha)",242171.279246691
2020,"Perte de couvert forestier arboré (ha)",248501.7226021032
2021,"Perte de couvert forestier arboré (ha)",183248.39867355986
2001,"Emissions brutes de CO2e (Mg)",45931081.9622593
2002,"Emissions brutes de CO2e (Mg)",54975834.7449689
2003,"Emissions brutes de CO2e (Mg)",33115819.552742835
2004,"Emissions brutes de CO2e (Mg)",18413206.97808036
2005,"Emissions brutes de CO2e (Mg)",24314546.393557824
2006,"Emissions brutes de CO2e (Mg)",39947998.54875566
2007,"Emissions brutes de CO2e (Mg)",37351274.525175445
2008,"Emissions brutes de CO2e (Mg)",54848640.28605117
2009,"Emissions brutes de CO2e (Mg)",50598838.765461765
2010,"Emissions brutes de CO2e (Mg)",42511515.95293561
2011,"Emissions brutes de CO2e (Mg)",58225229.07144476
2012,"Emissions brutes de CO2e (Mg)",46428763.96967441
2013,"Emissions brutes de CO2e (Mg)",84521394.69187635
2014,"Emissions brutes de CO2e (Mg)",173350780.71107718
2015,"Emissions brutes de CO2e (Mg)",77194804.6539544
2016,"Emissions brutes de CO2e (Mg)",115127295.80846633
2017,"Emissions brutes de CO2e (Mg)",190554326.774579
2018,"Emissions brutes de CO2e (Mg)",177439638.40017182
2019,"Emissions brutes de CO2e (Mg)",135580523.28397906
2020,"Emissions brutes de CO2e (Mg)",144053122.45744166
2021,"Emissions brutes de CO2e (Mg)",108178944.15751791
